sno,month,peroid,actual_rainfall_in_karur_in_mm,actual_rainfall_in_aravakurichi_in_mm,actual_rainfall_in_kparamathi_in_mm,actual_rainfall_in_anaipalyam_in_mm,actual_rainfall_in_kulithalai_in_mm,actual_rainfall_in_thogaimalai_in_mm,actual_rainfall_in_kadavur_in_mm,actual_rainfall_in_palaviduthi_in_mm,actual_rainfall_in_mayanur_in_mm,actual_rainfall_in_panchapatti_in_mm,actual_rainfall_in_bengaluru_in_mm,actual_rainfall_in_mysore_in_mm
1,June'2018,South West Monsoon,6.0,0.0,0.0,0.0,42.0,11.0,15.0,0.0,30.0,13.0,80.0,60.0
2,July'2018,South West Monsoon,31.0,5.8,12.5,24.2,42.0,21.0,0.0,0.0,23.0,59.2,120.0,95.0
3,August'2018,South West Monsoon,4.0,1.0,33.4,0.0,6.0,1.0,0.0,0.0,11.0,5.4,60.0,50.0
4,September'2018,South West Monsoon,60.2,221.2,138.4,96.1,125.0,27.0,64.2,39.0,76.0,157.8,200.0,150.0
5,October'2018,North East Monsoon,27.1,84.4,64.0,65.5,42.1,68.1,97.4,56.2,60.0,75.6,40.0,30.0
6,November'2018,North East Monsoon,55.1,61.0,50.6,129.2,57.8,108.0,112.0,158.5,89.4,101.0,30.0,25.0
7,December'2018,North East Monsoon,3.0,0.0,0.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,5.0,3.0
8,January'2019,Winter Season,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
9,February'2019,Winter Season,3.0,0.0,0.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,4.0,2.0
10,March'2019,Hot Weather Period,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,10.0,8.0
11,April'2019,Hot Weather Period,7.2,9.0,11.4,8.8,6.0,0.0,22.2,0.0,0.0,0.0,15.0,12.0
12,May'2019,Hot Weather Period,92.7,22.8,48.8,79.0,40.0,23.0,20.0,111.9,89.0,30.2,160.0,120.0
